index,massinit,Xinit,Yinit,Zinit,fehinit,amlt,fov_core,fov0_core,eta
28383,0.71148,0.71542331,0.27034601,0.01423068,0.03967285,2.587485,0.000000,0.000000,0.184
28384,0.71597,0.74508529,0.25254883,0.00236588,-0.75720215,1.321469,0.000000,0.000000,0.418
28385,1.86597,0.71517865,0.27049281,0.01432854,0.04279785,2.021469,0.016064,0.008032,0.068
28386,2.44097,0.73631775,0.25780935,0.00587290,-0.35720215,2.371469,0.018000,0.009000,0.593
28387,1.29097,0.66707315,0.29935611,0.03357074,0.44279785,1.671469,0.007758,0.003879,0.243
28388,1.57847,0.74166880,0.25459872,0.00373248,-0.55720215,2.196469,0.011911,0.005956,0.505
28389,2.72847,0.69576787,0.28213928,0.02209285,0.24279785,1.496469,0.018000,0.009000,0.155
28390,2.15347,0.74725719,0.25124568,0.00149712,-0.95720215,1.846469,0.018000,0.009000,0.680
28391,1.00347,0.72799327,0.26280404,0.00920269,-0.15720215,2.546469,0.003606,0.001803,0.330
28392,1.14722,0.73260923,0.26003446,0.00735631,-0.25720215,1.758969,0.005682,0.002841,0.112
28393,2.29722,0.64831367,0.31061180,0.04107453,0.54279785,2.458969,0.018000,0.009000,0.462
28394,2.87222,0.74356898,0.25345861,0.00297241,-0.65720215,2.108969,0.018000,0.009000,0.287
28395,1.72222,0.70645375,0.27572775,0.01781850,0.14279785,1.408969,0.013988,0.006994,0.637
28396,1.43472,0.74629416,0.25182351,0.00188234,-0.85720215,2.633969,0.009835,0.004917,0.024
28397,2.58472,0.72226418,0.26624149,0.01149433,-0.05720215,1.933969,0.018000,0.009000,0.374
28398,2.00972,0.73929039,0.25602577,0.00468384,-0.45720215,1.583969,0.018000,0.009000,0.199
28399,0.85972,0.68276621,0.28994027,0.02729351,0.34279785,2.283969,0.001529,0.000765,0.549
28400,0.93159,0.73788655,0.25686807,0.00524538,-0.40720215,2.502719,0.002567,0.001284,0.658
28401,2.08159,0.67527988,0.29443207,0.03028805,0.39279785,1.802719,0.018000,0.009000,0.308
28402,2.65659,0.74572399,0.25216561,0.00211040,-0.80720215,1.452719,0.018000,0.009000,0.483
28403,1.50659,0.71890772,0.26825537,0.01283691,-0.00720215,2.152719,0.010873,0.005437,0.133
28404,1.79409,0.74267231,0.25399662,0.00333108,-0.60720215,1.977719,0.015026,0.007513,0.571
28405,2.94409,0.70137743,0.27877354,0.01984903,0.19279785,2.677719,0.018000,0.009000,0.221
28406,2.36909,0.73042669,0.26134398,0.00822932,-0.20720215,2.327719,0.018000,0.009000,0.396
28407,1.21909,0.63767475,0.31699515,0.04533010,0.59279785,1.627719,0.006720,0.003360,0.046
28408,1.07534,0.74680305,0.25151817,0.00167878,-0.90720215,2.065219,0.004644,0.002322,0.177
28409,2.22534,0.72528216,0.26443070,0.01028714,-0.10720215,1.365219,0.018000,0.009000,0.527
28410,2.80034,0.74054607,0.25527236,0.00418157,-0.50720215,1.715219,0.018000,0.009000,0.002
28411,1.65034,0.68957970,0.28585218,0.02456812,0.29279785,2.415219,0.012949,0.006475,0.352
28412,1.36284,0.73456545,0.25886073,0.00657382,-0.30720215,1.540219,0.008797,0.004398,0.265
28413,2.51284,0.65809932,0.30474041,0.03716027,0.49279785,2.240219,0.018000,0.009000,0.615
28414,1.93784,0.74436996,0.25297803,0.00265202,-0.70720215,2.590219,0.017102,0.008551,0.090
28415,0.78784,0.71104035,0.27297579,0.01598386,0.09279785,1.890219,0.000491,0.000246,0.440
28416,0.82378,0.73712388,0.25732567,0.00555045,-0.38220215,2.174594,0.001010,0.000505,0.035
28417,1.97378,0.67126952,0.29683829,0.03189219,0.41779785,1.474594,0.017621,0.008811,0.385
28418,2.54878,0.74541369,0.25235178,0.00223452,-0.78220215,1.824594,0.018000,0.009000,0.210
28419,1.39878,0.71709199,0.26934481,0.01356320,0.01779785,2.524594,0.009316,0.004658,0.560
28420,1.68628,0.74746558,0.25112065,0.00141377,-0.98220215,1.649594,0.013469,0.006734,0.122
28421,2.83628,0.72924297,0.26205422,0.00870281,-0.18220215,2.349594,0.018000,0.009000,0.472
28422,2.26128,0.74218465,0.25428921,0.00352614,-0.58220215,2.699594,0.018000,0.009000,0.297
28423,1.11128,0.69864210,0.28041474,0.02094316,0.21779785,1.999594,0.005163,0.002581,0.647
28424,1.25503,0.74398077,0.25321154,0.00280769,-0.68220215,2.437094,0.007239,0.003620,0.516
28425,2.40503,0.70880562,0.27431663,0.01687775,0.11779785,1.737094,0.018000,0.009000,0.166
28426,2.98003,0.73361418,0.25943149,0.00695433,-0.28220215,1.387094,0.018000,0.009000,0.691
28427,1.83003,0.65331066,0.30761361,0.03907574,0.51779785,2.087094,0.015545,0.007772,0.341
28428,1.54253,0.73993576,0.25563854,0.00442569,-0.48220215,1.912094,0.011392,0.005696,0.429
